Case Number,Nature of Offense,Date/Time Occurred,Date Reported,Incident Location,Disposition
UM 23-211677,Theft from Motor Vehicle / Tamper with Motor,08/09/2023 1743,08/09/23,1002 Essex St SE,Closed - Arrest
,Vehicle,,,
,Stolen Property Offence / Narcotics Violation /,,CARLSON,
UM 23-211776,Trespassing / Possession of Burglary Tools,08/09/2023 1925,08/09/23,123 Harvard St SE,
UM 23-211820,Non- Vehicular Accident,08/09/2023 2021,08/09/23,2002 2nd St S,Closed
UM 23-211853,Bike Theft,08/09/2023 0930,08/09/23,2001 6th St SE,Inactive
SPPD 22-124750,Auto Theft,07/11/2022 1715,08/08/23,1000 WestGate Dr,SPPD
WCSO 22-008322,Domestic Assault,10/16/2022 0000,08/08/23,"35838 120th St, Waseca, MN",WCSO
MP 22-014193,Rape,10/29/2021 2300,08/08/23,1625 University Ave SE,MPD
UM 23-210029,Auto Theft,08/07/2023 2210,08/08/23,2221 University Ave SE,CARLSON
UM 23-210315,Miscellaneous,08/08/2023 1615,08/08/23,200 Oak St SE,Closed
UM 23-210506,Mysterious Disappearance,08/08/2023 0700,08/08/23,1 Washington Ave SE,Closed
UM 23-210636,Driving After Revocation,08/08/2023 2118,08/08/23,1500 University Ave SE,Closed - Cited
MP 23-206547,Assault,08/04/2023 2223,08/07/23,525 23rd Ave S,MPD
MP 23-206691,Hit and Run-Property Damage,08/04/2023 2311,08/07/23,Riverside Ave S & 25th Ave S,MPD
MP 23-206840,Assault,08/05/2023 145,08/07/23,14th Ave SE & 4th St SE,MPD
UM 23-208714,Driving After Revocation,08/06/2023 2315,08/07/23,4th St SE / 15th Ave SE,Closed - Cited
UM 23-208992,Auto Theft,08/07/2023 1020,08/07/23,2275 Larpenteur Ave W,Closed
UM 23-209005,Theft,08/04/2023 1000,08/07/23,516 Delaware St SE,THOMAS
UM 23-209060,Stolen Property Offense / Recovered Vehicle /,08/07/2023 1144,08/07/23,615 Washington Ave SE,CARLSON
,Use of Force,,,
UM 23-209335,Warrant,08/07/2023 1640,08/07/23,1212 University Ave SE,Closed - Arrest
UM 23-209422,Recovered Property,08/07/2023 1820,08/07/23,321 19th Ave S,Closed
UM 23-209590,Bike Theft,08/07/2023 1315,08/07/23,2231 6th St SE,Inactive
UM 23-208090,Damage to Property,08/05/2023 0600,08/06/23,1920 2nd St S,Inactive
UM 23-208445,Narcotics Violation,08/06/2023 1756,08/06/23,309 Cedar Ave S,FARRAR
UM 23-206783,No Valid Drivers License,08/05/2023 0040,08/05/23,Washington Ave SE / Oak St SE,Closed - Cited
UM 23-206949,Trespass / Recovered Property,08/05/2023 0622,08/05/23,2001 Bloomington Ave,Closed
UM 23-207193,Trespass,08/05/2023 1250,08/05/23,210 Delaware St SE,Closed
UM 23-207477,Theft by Swindle,08/03/2023 2130,08/05/23,1603 W End Blvd,Jurisdiction Transfer
UM 23-207539,Domestic Assault,08/05/2023 1930,08/05/23,615 Washington Ave SE,CARLSON
UM 23-207712,Warrant,08/05/2023 2242,08/05/23,11th Ave SE / University Ave SE,Closed - Arrest
UM 23-205731,Miscellaneous / Use of Force,08/04/2023 0042,08/04/23,2020 16th Ave S,Closed
UM 23-206226,Auto Theft,08/04/2023 1330,08/04/23,2218 University Ave SE,CALRSON
UM 23-206358,Warrant,08/04/2023 1724,08/04/23,515 Delaware St SE,Closed - Arrest
UM 23-206548,Theft from Building,08/04/2023 2024,08/04/23,1000 Washington Ave SE,Closed - Arrest
UM 23-205880,Auto Theft / Damage to Motor Vehicle,08/03/2023 1900,08/04/23,1039 5th St SE,Inactive
UM 23-206097,Motor Vehicle Accident Damage Report,08/04/2023 1230,08/04/23,1420 Eckles Ave,Closed
UM 23-206143,Theft from Building,08/04/2023 1330,08/04/23,300 Washington Ave SE,THOMAS
UM 23-206538,Miscellaneous,07/31/2023 0853,08/04/23,701 Fulton St SE,Closed
UM 23-204739,Driving After Revocation,08/03/2023 0032,08/03/23,10th Ave SE / University Ave SE,Closed - Cited
UM 23-204925,Trespass,08/03/2023 0800,08/03/23,115 Union St SE,Closed - Cited
UM 23-205098,Burglary of Business / Trespassing,08/03/2023 1205,08/03/23,300 19th Ave S,FARRAR
UM 23-205352,Narcotics Violation,08/03/2023 1704,08/03/23,1810 Riverside Ave,FARRAR
UM 23-205532,Driving After Revocation,08/03/2023 2024,08/03/23,15th Ave SE / Brook Ave SE,Closed - Cited
UM 23-204196,Assault on Police Officer / Assault - Fear of,08/02/2023 1350,08/02/23,615 Washington Ave SE,CARLSON
,Harm / Use of Force,,,
UM 23-204346,Miscellaneous,08/02/2023 1634,08/02/23,116 Church St SE,Closed
UM 23-204418,Motor Vehicle Accident Damage Report,08/02/2023 1739,08/02/23,Washington Ave SE / Walnut St,Closed
,,,SE,
UM 23-204465,Miscellaneous,08/02/2023 1820,08/02/23,526 Delaware St SE,Closed
UM 23-204588,Bike Theft,08/02/2023 1815,08/02/23,309 19th Ave S,Inactive
UM 23-202735,Miscellaneous,07/31/2023 2219,08/01/23,1027 29th Ave SE,Closed
UM 23-203073,Motor Vehicle Accident Damage Report,08/01/2023 1023,08/01/23,1186 Ray Pl,Closed
UM 23-203720,Motor Vehicle Accident Damage Report,08/01/2023 2200,08/01/23,University Ave SE / Huron Blvd SE,Closed
MP 23-200693,Assault,07/29/2023 2124,07/31/23,2450 Riverside Ave,MPD
MP 23-193558,Auto Theft,07/22/2023 1500,07/31/23,2450 Riverside Ave,MPD
MP 23-198568,Auto Theft,07/27/2023 1743,07/31/23,7th St S & 26th Ave S,MPD
MP 23-188733,Auto Theft,07/17/2023 2100,07/31/23,6th St S & 26th Ave S,MPD
MP 23-193049,Auto Theft,07/21/2023 2200,07/31/23,614 Delaware St SE,MPD
MP 23-197249,Theft from Motor Vehicle,07/25/2023 1800,07/31/23,317 18th Ave SE,MPD
MP 23-197230,Theft from Motor Vehicle,07/25/2023 1800,07/31/23,317 18th Ave SE,MPD
UM 23-202489,Theft from Coin Operated Device,07/31/2023 1700,07/31/23,269 19th Ave S,FARRAR
UM 23-202035,Damage to Motor Vehicel,07/30/2023 2130,07/31/23,1920 2nd St S,Inactive
UM 23-202249,Theft,07/30/2023 0700,07/31/23,2829 University Ave SE,CARLSON
UM 23-202328,Non- Vehicular Accident,07/31/2023 1410,07/31/23,1800 4th St SE,Closed
UM 23-201167,Theft,07/29/2023 2000,07/30/23,1175 Fifield Ave,Inactive
UM 23-201199,Auto Theft / Damage to Property,07/29/2023 0900,07/30/23,1043 5th St SE,Inactive
UM 23-201447,Theft,07/27/2023 1800,07/30/23,701 15th Ave SE,HUCK
UM 23-201717,Warrant,07/30/2023 1947,07/30/23,1 Washington Ave SE,Closed - Arrest
UM 23-201800,Damage to Property,07/30/2023 1800,07/30/23,1920 2nd St S,FARRAR
UM 23-200174,Bike Theft,07/24/2023 0100,07/29/23,1237 Fifield Ave,Inactive
UM 23-200303,Trespass,07/29/2023 1230,07/29/23,117 Pleasant St SE,Closed - Arrest
UM 23-200441,Bike Theft,07/26/2023 1900,07/29/23,321 S 19th Ave,Inactive
UM 23-200474,Warrant,07/29/2023 1610,07/29/23,Unviersity Ave W / Snelling Ave N,THOMAS
UM 23-198974,Trespass,07/28/2023 0513,07/28/23,300 19th Ave S,Closed
UM 23-199012,Trespass,07/28/2023 0708,07/28/23,390 29th Ave SE,Closed
UM 23-199067,Bike Theft,07/28/2023 0152,07/28/23,1051 29th Ave SE,HUCK
UM 23-199069,Trespass,07/28/2023 0845,07/28/23,516 15th Ave SE,Closed - Cited
UM 23-199205,Bike Theft,07/28/2023 0850,07/28/23,515 Delaware St SE,Inactive
UM 23-199280,Narcotics Violation / Trespass,07/28/2023 1300,07/28/23,2601 University Ave SE,CARLSON
UM 23-199435,Miscellaneous,07/28/2023 1611,07/28/23,Washington Ave SE / Church St,Closed
,,SE,
UM 23-199805,Recovered Vehicle,07/28/2023 2227,07/28/23,10th Ave SE / 8th St SE,Closed
UM 23-198040,Trespass,07/27/2023 0815,07/27/23,115 Union St SE,Closed - Cited
UM 23-198189,Bike Theft,07/26/2023 2030,07/27/23,1038 27th Ave SE,Inactive
UM 23-198357,Forgery,05/01/2023 1200,07/27/23,615 Fulton St SE,HUCK
UM 23-197015,Theft by Swindle,07/25/2023 1630,07/26/23,1213 Ray Place,Inactive
UM 23-197055,Theft,07/05/2023 1000,07/26/23,2001 Bloomington Ave,HUCK
UM 23-197069,Recovered Property,07/26/2023 0900,07/26/23,229 19th Ave S,Closed
UM 23-197096,Terroristic Threats / Flee Officer on Foot / Use,07/26/2023 0920,07/26/23,925 Washington Ave SE,CARLSON
,of Force,,
UM 23-197383,Bike Theft,07/20/2023 1600,07/26/23,1024 27th Ave SE,HUCK
UM 23-195970,Crisis Intervention,07/25/2023 0540,07/25/23,615 Fulton St SE,Closed
UM 23-196015,Crisis Intervention / Health Welfare Hold,07/25/2023 0747,07/25/23,2001 Bloomington Ave,Closed
UM 23-196062,Miscellaneous,07/25/2023 0859,07/25/23,401 Oak St SE,Closed
UM 23-196711,Flee Police in Motor Vehicle / Warrant,07/25/2023 2051,07/25/23,275 Cedar Ave S,FARRAR
UM 23-196813,Trespass,07/25/2023 2300,07/25/23,300 19th Ave S,Closed
UM 23-196403,Warrant,07/25/2023 1554,07/25/23,311 Harvard St SE,Closed - Arrest
UM 23-194900,Miscellaneous,07/24/2023 0200,07/24/23,500 Harvard St SE,Closed
UM 23-194974,Assault,07/24/2023 0710,07/24/23,300 Washington Ave SE,THOMAS
UM 23-195072,Theft,07/23/2023 1000,07/24/23,500 Harvard St SE,Inactive
UM 23-195089,Bike Theft,07/24/2023 0000,07/24/23,1028 27th Ave SE,HUCK
UM 23-195204,Trespass / Warrant,07/24/2023 1217,07/24/23,2829 University Ave SE,Closed - Arrest
UM 23-195115,Bike Theft,07/24/2023 0330,07/24/23,1038 27th Ave SE,HUCK
UM 23-195495,Trespass,07/24/2023 1720,07/24/23,206 Church St SE,Closed
UM 23-193841,Reckless Driving,07/23/2023 0020,07/23/23,University Ave SE / 10th Ave SE,Closed - Cited
UM 23-194045,Reckless Driving,07/22/2023 0936,07/23/23,615 Fulton St SE,Closed - Cited
UM 23-194190,Criminal Sexual Conduct - Molest,07/23/2023 1159,07/23/23,551 Washington Ave SE,FARRAR
UM 23-194264,Theft,07/20/2023 2245,07/23/23,2009 University Ave SE,Active
UM 23-194469,Driving After Revocation,07/23/2023 1730,07/23/23,23rd Ave SE / 6th St SE,Closed - Cited
UM 23-192824,Flee Officer on Foot,07/22/2023 0026,07/22/23,Old Main Road,Closed - Cited
UM 23-193505,Damage to Property-Graffitti,07/22/2023 1200,07/22/23,901 29th Ave SE,CARLSON
UM 23-191359,Bike Theft,07/20/2023 1300,07/21/23,1925 4th St S,Inactive
UM 23-191763,Driving While Intoxicated,07/20/2023 2333,07/21/23,27th Ave SE / Yavle Ave SE,Closed- Arrest
UM 23-191809,Hit/Run No Injury,07/21/2023 0015,07/21/23,1811 5th SE,CARLSON
UM 23-191995,Theft,07/18/2023 1300,07/21/23,1024 27th Ave SE,Inactive
UM 23-192079,Careless Driving / Health Welfare Hold / Traffic,07/21/2023 1023,07/21/23,University Ave SE / Walnut St SE,CARLSON
,Law Enforcement,,,
UM 23-192234,Warrant,07/21/2023 1354,07/21/23,333 East River Pkwy,Closed - Arrest
UM 23-192611,Warrant,07/21/2023 2043,07/21/23,22nd Ave S / West River Pkwy,FARRAR
UM 23-192737,Health Welfare Hold,07/21/2023 2250,07/21/23,1207 Ray Place,Closed
UM 23-191552,Criminal Sexual Conduct - Molest,07/20/2023 1954,07/20/23,2009 University Ave SE,FARRAR
UM 23-191630,Recovered Property,07/20/2023 2106,07/20/23,Arlington St SE / East River PKWY,Closed
UM 23-191603,Traffic Law Enforcement,07/20/2023 2049,07/20/23,Oak St SE / Washington Ave SE,CARLSON
UM 23-191033,Trespass,07/20/2023 0941,07/20/23,115 Union St SE,Closed - Cited
UM 23-191006,Warrant,07/20/2023 0916,07/20/23,630 Washington Ave SE,Closed - Arrest
UM 23-191591,Non-Vehicular Accident,07/20/2023 1900,07/20/23,1811 5th St SE,Closed
UM 23-190369,Warrant,07/19/2023 1554,07/19/23,1 10th Ave SE,Closed - Arrest
UM 23-190579,Robbery of Person,07/19/2023 1918,07/19/23,615 Washington Ave SE,CARLSON
UM 23-190680,Warrant,07/19/2023 2146,07/19/23,Beacon St SE / Union St SE,Closed - Arrest
MP 23-707416,Damage to Motor Vehicle,07/07/2023 1230,07/18/23,606 24th Ave S,MPD
MP 23-707757,Bike Theft,07/13/2023 1600,07/18/23,Huron Blvd SE & University Ave,MPD
,,,SE,
MP 23-181333,Auto Theft,07/09/2023 2345,07/18/23,326 17th Ave SE,MPD
,Motor Vehicle Accident Damage Report /,,,Closed
UM 23-189275,Driving After Revocation /,07/18/2023 1325,07/18/23,University Ave SE / 14th Ave SE,
,No Proof of Insurance,,,
UM 23-189284,Health Welfare Hold,07/18/2023 1352,07/18/23,4th St SE / 14th Ave SE,Closed
UM 23-189380,Miscellaneous,07/17/2023 0740,07/18/23,516 Delaware St SE,Closed
UM 23-187683,Motor Vehicle Accident Damage Report,07/16/2023 2000,07/17/23,4th St SE / 14th Ave SE,Closed
UM 23-188000,911 Interference,07/17/2023 0815,07/17/23,84 Church St SE,THOMAS
UM 23-188173,Trespass,07/17/2023 1125,07/17/23,2231 6th St SE,Closed - Cited
UM 23-188229,Warrant,07/17/2023 1246,07/17/23,21st Ave S / Riverside Ave S,Closed - Arrest
UM 23-188238,Miscellaneous,07/09/2023 1545,07/17/23,615 Fulton St SE,HUCK
UM 23-185895,Careless Driving,07/15/2023 0032,07/16/23,University Ave SE / Oak St SE,Closed - Cited
UM 23-186938,Miscellaneous,07/16/2023 0017,07/16/23,13th Ave SE / 4th St SE,Closed
UM 23-187304,Bike Theft,07/15/2023 1200,07/16/23,210 Delaware St SE,Inactive
UM 23-187346,Bike Theft,07/15/2023 2330,07/16/23,615 Fulton St SE,Inactive
UM 23-187390,Bike Theft,07/14/2023 0800,07/16/23,229 19th Ave S,FARRAR
UM 23-187453,Warrant,07/16/2023 1531,07/16/23,20th Ave S / 1st Ave S,Closed - Arrest
UM 23-187552,Warrant,07/16/2023 1723,07/16/23,551 Washington Ave SE,Closed - Arrest
UM 23-186007,Driving After Revocation,07/15/2023 0238,07/15/23,14th Ave SE / 8th St SE,Closed - Cited
UM 23-186607,Warrant,07/15/2023 1917,07/15/23,University Ave SE / Malcom Ave,CARLSON
,,,SE,
UM 23-186860,Bike Violation,07/15/2023 2309,07/15/23,15th Ave SE / 4th St SE,Closed -Cited
MP 23-186870,Robbery,07/15/2023 2314,07/15/23,920 Delaware St SE,MPD
UM 23-184661,Burglary of Dwelling,07/13/2023 0700,07/14/23,615 Washington Ave SE,CARLSON
UM 23-184939,Credit Card/ATM Fraud,01/24/2023 0700,07/14/23,300 Washington Ave SE,THOMAS
UM 23-184960,Bike Theft,07/13/2023 0952,07/14/23,225 19th Ave S,FARRAR
UM 23-184984,Narcotics Violation,07/14/2023 0940,07/14/23,615 Washington Ave SE,CARLSON
UM 23-185011,Trespass,07/14/2023 1015,07/14/23,4th St SE / 13th Ave SE,Closed
UM 23-185143,Motor Vehicle Accident Injury Report,07/14/2023 1250,07/14/23,Fulton St SE / Ontario St SE,Closed
UM 23-185244,Miscellaneous,07/14/2023 1415,07/14/23,1122 University Ave SE,HUCK
UM 23-185650,Recovered Property,07/14/2023 1900,07/14/23,1308 4th St SE,Closed
UM 23-185789,Flee Officer on Foot / Warrant / Use of Force,07/14/2023 2242,07/14/23,5th St SE / 13th Ave SE,Closed - Arrest
UM 23-185835,Driving While Intoxicated,07/14/2023 2331,07/14/23,418 13th Ave SE,CARLSON
UM 23-183765,Damage to Motor Vehicle,07/12/2023 2345,07/13/23,401 Oak St SE,Inactive
UM 23-183758,Flee Police in Motor Vehicle,07/13/2023 0018,07/13/23,Old Main Rd,CARLSON
UM 23-184384,Motor Vehicle Accident Injury Report,07/13/2023 1645,07/13/23,385 E River Pkwy,Closed - Cited
UM 23-184750,Narcotics Violation,07/13/2023 2348,07/13/23,526 Delaware St SE,THOMAS
UM 23-183086,Theft from Motor Vehicle,07/11/2023 2000,07/12/23,615 Washington Ave SE,Inactive
UM 23-183141,Trespass,07/12/2023 1202,07/12/23,2231 6th St SE,Closed
UM 23-183575,Miscellaneous,07/11/2023 2349,07/12/23,300 Washington Ave SE,HUCK
UM 23-183705,Driving After Suspsension,07/12/2023 2234,07/12/23,University Ave SE / Bedford St SE,Closed - Cited
MP 23-183954,Theft from Motor Vehicle,07/12/2023 1827,07/12/23,10th Ave SE & University Ave SE,MPD
UM 23-182099,Auto Theft / Stolen Property Offense /,07/11/2023 0754,07/11/23,Cedar Ave S / 9th St S,THOMAS
,Recovered Vehicle,,,
UM 23-182301,Bike Theft,07/11/2023 1220,07/11/23,123 Harvard St SE,CARLSON
UM 23-182333,Theft,06/30/2023 1200,07/11/23,210 Delaware St SE,Inactive
UM 23-182355,Miscellaneous,07/11/2023 1215,07/11/23,310 Pillsbury Dr SE,Closed
UM 23-182787,Stolen Property Offense,07/11/2023 2155,07/11/23,4th St SE / Oak St SE,CARLSON
UM 23-181473,Motor Vehicle Accident Damage Report,07/10/2023 1339,07/10/23,2001 Bloomington Ave,Closed
UM 23-181585,Miscellaneous,07/10/2023 1330,07/10/23,271 19th Ave S,HUCK
UM 23-181591,Auto Theft,07/10/2023 1030,07/10/23,401 Oak St SE,THOMAS
UM 23-181684,Bike Theft,07/10/2023 0750,07/10/23,909 Fulton St SE,Closed
UM 23-181913,Driving after Recovation / No Proof of,07/10/2023 2246,07/10/23,Elm St SE / 19th Ave SE,Closed - Cited
,Insurance,,,
UM 23-180178,Weapons Law Violation,07/09/2023 0016,07/09/23,5th St SE / 14th Ave SE,CARLSON
UM 23-180407,Bike Theft,07/08/2023 2130,07/09/23,1070 27th Ave SE,Inactive
UM 23-179461,Assault / Trespass / Obstruct Legal Process /,07/08/2023 1020,07/08/23,511 Washington Ave SE,CARLSON
,Flee Officer of Foot,,,
UM 23-179609,Health Welfare Hold,07/08/2023 1342,07/08/23,315 Pillsbury Drive,Closed
UM 23-178050,Driving After Revocation,07/06/2023 2238,07/07/23,University Ave SE / Oak St SE,Closed -Cited
UM 23-178353,Driving After Revocation,07/07/2023 0947,07/07/23,Oak St SE / Washington Ave SE,Closed - Cited
UM 23-178828,Damage to Property,07/07/2023 2123,07/07/23,505 Washington Ave SE,CARLSON
UM 23-177264,Theft,07/05/2023 2130,07/06/23,2046 Knapp St,Inactive
UM 23-177720,Bike Theft,07/06/2023 0830,07/06/23,27 Pleasant St SE,Inactive
UM 23-177732,Mysterious Disappearance,07/06/2023 1410,07/06/23,9 Pleasant St SE,Closed
UM 23-177768,Bike Theft,07/06/2023 0800,07/06/23,300 Washington Ave SE,Inactive
UM 23-177827,No Valid Drivers License,07/06/2023 1806,07/06/23,University Ave SE / 19th Ave SE,Closed -Cited
UM 23-177849,Auto Theft / Recovered Vehicle,07/06/2023 1825,07/06/23,1002 Essex St SE,FARRAR
UM 23-177851,Motor Vehicle Accident Injury Report,07/06/2023 1827,07/06/23,1900 Block Unviersity Ave,Closed
UM 23-178075,No Valid Drivers License,07/06/2023 2307,07/06/23,27th Ave SE / Essex St SE,Closed -Cited
UM 23-178097,Fail to Yield,07/06/2023 2332,07/06/23,609 Huron Blvd SE,Closed -Cited
UM 23-176136,Driving After Cancellation,07/05/2023 0800,07/05/23,25th Ave SE / University Ave SE,Closed - Cited
UM 23-176565,Miscellaneous,07/05/2023 1200,07/05/23,2231 6th St SE,Closed
UM 23-176982,Driving After Revocation,07/05/2023 2143,07/05/23,4th St SE / 2nd Ave SE,Closed - Cited
UM 23-175359,Health Welfare Hold,07/04/2023 1615,07/04/23,84 Church St SE,Closed
MP 23-706998,Hit and Run-Unattended Vehicle,06/24/2023 2255,07/03/23,Riverside Ave & Cedar Ave,MPD
MP 23-706952,Theft,05/22/2023 100,07/03/23,2312 6th St S,MPD
MP 23-706994,Hit and Run-Unattended Vehicle,06/27/2023 1200,07/03/23,401 Oak St SE,MPD
UM 23-174721,False Info-Fake Name,07/03/2023 2116,07/03/23,Lower Heating Plant Road,Closed - Cited
UM 23-173920,Use of Force,07/03/2023 0327,07/03/23,500 Harvard St SE,Closed
UM 23-172696,Narcotics Violation,07/01/2023 2150,07/02/23,5th St SE / 14th Ave SE,FARRAR
UM 23-172953,Careless Driving,07/02/2023 0218,07/02/23,4th St SE / 13th Ave SE,Closed - Cited
UM 23-173137,Trespass,07/02/2023 0904,07/02/23,526 Delaware St SE,Closed
UM 23-172064,Unsecure Business,07/01/2023 0909,07/01/23,27 Pleasant St SE,Closed
UM 23-172604,Warrant / Driving After Suspension,07/01/2023 2021,07/01/23,1003 29th Ave SE,Closed - Arrest
UM 23-170755,Flee Police in Motor Vehicle,06/30/2023 0035,06/30/23,15th Ave / Como Ave,CARLSON
UM 23-171226,Bike Theft,06/30/2023 1200,06/30/23,222 21st Ave S,FARRAR
UM 23-171394,Flee Officer on Foot / Use of Force / Warrant,06/30/2023 1732,06/30/23,University Ave SE / Oak St SE,Closed - Arrest
UM 23-171576,Bike Theft,06/30/2023 1200,06/30/23,420 Washington Ave SE,Inactive
UM 23-171554,Driving After Revocation,06/30/2023 2001,06/30/23,8th St SE / 10th Ave SE,Closed - Cited
UM 23-170362,Warrant,06/29/2023 1639,06/29/23,19th Ave S / 2nd St S,Closed - Arrest
UM 23-168472,Recovered Property,06/27/2023 2250,06/28/23,1811 5th St SE,Closed
UM 23-168711,Recovered Property,06/28/2023 0856,06/28/23,1365 Gortner Ave,Closed
UM 23-169175,Impound Abandoned Vehicle,06/28/2023 1220,06/28/23,345 East River Pkwy,Closed
UM 23-169188,Miscellaneous,06/28/2023 0712,06/28/23,401 Oak St SE,Closed
UM 23-169260,Trespass,06/28/2023 1341,06/28/23,309 19th Ave S,Closed
UM 23-169266,Miscellaneous,06/24/2023 1300,06/28/23,321 Church St SE,THOMAS
UM 23-169652,Carry Knife 4in Blade,06/28/2023 2051,06/28/23,29th Ave SE / Transit Way,Closed - Cited
UM 23-169767,Health Welfare Hold / Crisis Intervestion,06/28/2023 2310,06/28/23,1 Washington Ave SE,Closed
UM 23-167655,Trespass,06/27/2023 0727,06/27/23,267 19th Ave S,Closed
UM 23-167857,Mysterious Disappearance,06/27/2023 0740,06/27/23,500 Harvard St SE,Closed
UM 23-167921,Driving After Revocation,06/27/2023 1316,06/27/23,Huron Blvd SE / University Ave SE,Closed - Cited
UM 23-167940,Driving After Suspension,06/27/2023 1330,06/27/23,Essex St SE / Saint Marys Ave,Closed - Cited
UM 23-168411,Warrant,06/27/2023 2122,06/27/23,403 14th Ave SE,Closed - Arrest
UM 23-168425,Driving After Revocation,06/27/2023 2143,06/27/23,4th St SE / 10th Ave SE,Closed - Cited
UM 23-168516,Auto Theft,06/27/2023 2300,06/27/23,955 Delaware St SE,Inactive
UM 23-166808,No Valid Drivers License,06/26/2023 1027,06/26/23,2nd St SE / 5th Ave SE,Closed - Cited
UM 23-166873,Other Vehicle Theft,06/26/2023 1152,06/26/23,879 29th Ave SE,CARLSON
UM 23-166992,Warrant / Driving After Revocation,06/26/2023 1410,06/26/23,600 4th St SE,Closed - Cited
UM 23-167120,Bike Theft,06/17/2023 1600,06/26/23,420 Washington Ave SE,Inactive
UM 23-167145,Damage to Motor Vehicle,06/26/2023 0755,06/26/23,1900 Hendon Ave,Inactive
UM 23-167260,Disorderly Conduct,06/26/2023 1852,06/26/23,615 Washington Ave SE,Closed - Arrest
UM 23-167426,False Emergency Call,06/26/2023 2213,06/26/23,511 Washington Ave SE,CARLSON
UM 23-165128,Narcotics Violation,06/25/2023 1659,06/25/23,Cedar Ave S / 3rd St S,OPEN
UM 23-165253,No DL,06/25/2023 0100,06/25/23,26th Ave SE / University Ave SE,Closed -Cited
UM 23-165786,Driving after Revocation,06/25/2023 0854,06/25/23,Walnut St SE / Delaware St SE,Closed -Cited
UM 23-165992,Auto Theft,06/25/2023 1346,06/25/23,1007 29th Ave SE,HUCK
UM 23-166484,Unsecure Business,06/25/2023 2250,06/25/23,2231 6th St SE,Closed
UM 23-164761,Warrant,06/24/2023 0926,06/24/23,120 21st Ave S,Closed - Arrest
UM 23-164874,Warrant,06/24/2023 1013,06/24/23,615 Washington Ave SE,Closed - Arrest
UM 23-164850,Bike Theft,06/24/2023 1151,06/24/23,1815 4th St SE,Inactive,
UM 23-164978,Warrant,06/24/2023 1409,06/24/23,1301 5th St SE,Closed - Arrest,
UM 23-165004,Warrant,06/24/2023 1431,06/24/23,505 Washington Ave SE,Closed - Arrest,
UM 23-165460,Assault,/ Fireworks,06/24/2023 2227,06/24/23,14th Ave SE / 5th St SE,CARLSON,
UM 23-163571,Health and Welfare Hold,06/23/2023 0818,06/23/23,1 19th Ave S,Closed,
UM 23-163716,Warrant,06/23/2023 1117,06/23/23,301 19th Ave S,Closed - Arrest,
UM 23-163920,Recovered Property,06/23/2023 1506,06/23/23,89 Church St SE,Closed,
UM 23-164041,Burglary of Business,06/23/2023 1715,06/23/23,420 Washington Ave SE,THOMAS,
UM 23-164433,Possession of Fake ID,06/23/2023 2235,06/23/23,216 Pillsbury Dr SE,Closed -Cited,
MP 23-160513,Damage to Property,06/20/2023 925,06/23/23,525 23rd Ave S,MPD
MP 23-706604,Bike Theft,06/21/2023 640,06/23/23,2450 Riverside Ave,MPD
MP 23-706589,Theft from Motor Vehicle,06/20/2023 1800,06/23/23,351 East River Pkwy,MPD
UM 23-163478,Warrant,06/23/2023 0337,06/23/23,1365 Gortner Ave,Closed - Arrest,
UM 23-162529,Obstruct Legal Process / Warrant / Use of,06/22/2023 0741,06/22/23,1100 Washington Ave S,Closed - Arrest,
,Force,,,
UM 23-163258,Warrant,06/22/2023 2149,06/22/23,Harvard St SE / East River Pkwy,Closed - Arrest,
UM 23-163303,No Proof of Insurance,06/22/2023 2240,06/22/23,1400 Block of 4th St SE,Closed - Cited,
MP 23-159132,Hit and Run-Property Damage,06/19/2023 45,06/20/23,Washington Ave SE & 3rd St S,MPD
MP 23-156203,Assault,06/15/2023 2100,06/20/23,2312 6th St S,MPD
MP 23-159360,Auto Theft,06/19/2023 18,06/20/23,2450 Riverside Ave,MPD
MP 23-154904,Auto Theft,06/14/2023 1200,06/20/23,2512 7th St S,MPD
MP 23-706451,Hit and Run-Unattended Vehicle,06/16/2023 1910,06/20/23,Oak St SE & Washington Ave SE,MPD
MP 23-154739,Auto Theft,06/09/2023 500,06/20/23,University Ave SE & 14th Ave SE,MPD
UM 23-160632,Theft from Motor Vehicle,06/19/2023 2300,06/20/23,2275 Larpentuer Ave W,Inactive,
UM 23-160715,Bike Theft,06/20/2023 0730,06/20/23,308 Harvard St SE,Inactive,
UM 23-160817,Bike Theft,06/20/2023 0815,06/20/23,308 Harvard St SE,THOMAS,
UM 23-160995,Bike Theft,06/20/2023 1340,06/20/23,207 Pleasant St SE,Inactive,
UM 23-161067,Warrant,06/20/2023 1712,06/20/23,275 Cedar Ave S,Closed - Arrest,
UM 23-161195,Public Urination,06/20/2023 1924,06/20/23,505 Washington Ave SE,Closed - Cited,
UM 23-159594,Damage to Property,06/16/2023 1800,06/19/23,1901 University Ave SE,Inactive,
UM 23-160055,No Valid Drivers License,06/19/2023 1817,06/19/23,8th Ave SE / 4th St SE,Closed - Cited,
UM 23-160242,Recovered Property,06/19/2023 2139,06/19/23,1811 5th St SE,Closed,
UM 23-158528,Warrant,06/18/2023 0050,06/18/23,14th Ave SE / 5th St SE,Closed - Arrest,
UM 23-158568,Miscellaneous,06/18/2023 0133,06/18/23,University Ave SE / 13th Ave SE,Closed,
